sci,ta,en
Euphorbia hirta,Amman Pacharisi,Asthma Plant
Sida acuta,Arivaalmanai Poondu,Common Wireweed
Ziziphus mauritiana,Elantha Pazham,Indian Jujube
Phyllanthus niruri,Keezhanelli,Gale of the wind
Coccinia grandis,Kovakkai,Ivy Gourd
Aloe vera,Kattrazhai,Aloe Vera
Acalypha indica,Kuppaimeni,Indian Copperleaf
Cardiospermum halicacabum,Mudakathan Plant,Baloon Vine
Calotropis gigantea,Neela Erukku,Crown Flower
Andrographis paniculata,Nilavembu,Green Chireta
Catharanthus roseus,Nithyakalyani,Madagaskar Periwinkle
Ocimum tenuiflorum,Thulasi,Holy Basil
Anisomeles malabarica,Perunthumpai,Malabar catmint
Argemone mexicana,Piramaththandu,Mexican prickly poppy
Coleus amboinicus,Karpooravalli,Mexican Mint
Clitoria ternatea,Sangu Pushpam,Butterfly Pea
Physalis philadelphica,Siruthakkali,Cape Gooseberry
Urtica dioica,Kaanchori,Indian Stinging Nettle
Datura metel,Umathai,Indian Thornapple
Sida cordifolia,Kurunthotti,Country Mallow
None,None,None
